"","Fiscal.Year","Pricing.Mechanism.sum","SubCustomer.component","USDATL","Obligation.2014"
"1",2007-09-30,"Combination","Army","YOUNG",1.26024478011
"2",2007-09-30,"Combination","Navy","YOUNG",0.547204352374004
"3",2007-09-30,"Combination","Air Force","YOUNG",0.132333221876754
"4",2007-09-30,"Combination","DLA","YOUNG",0.137989956224043
"5",2007-09-30,"Combination","MDA","YOUNG",0.000392488494780559
"6",2007-09-30,"Combination","Additional
DoD
Components","YOUNG",0.31087967645078
"7",2007-09-30,"Cost+","Army","YOUNG",1.41465221875631
"8",2007-09-30,"Cost+","Navy","YOUNG",2.05050427905489
"9",2007-09-30,"Cost+","Air Force","YOUNG",1.48432468104164
"10",2007-09-30,"Cost+","DLA","YOUNG",0.00260942866763947
"11",2007-09-30,"Cost+","MDA","YOUNG",0.0257816264451678
"12",2007-09-30,"Cost+","Additional
DoD
Components","YOUNG",0.383586961757773
"13",2007-09-30,"Fixed","Army","YOUNG",21.3655343140195
"14",2007-09-30,"Fixed","Navy","YOUNG",10.4197596220092
"15",2007-09-30,"Fixed","Air Force","YOUNG",8.14165796613537
"16",2007-09-30,"Fixed","DLA","YOUNG",6.5126726248176
"17",2007-09-30,"Fixed","MDA","YOUNG",0.005698459063868
"18",2007-09-30,"Fixed","Military
Health","YOUNG",0.00117143991469301
"19",2007-09-30,"Fixed","Additional
DoD
Components","YOUNG",1.10867747152318
"20",2007-09-30,"Other","Army","YOUNG",0
"21",2007-09-30,"Time/Mat.","Army","YOUNG",0.980020059692446
"22",2007-09-30,"Time/Mat.","Navy","YOUNG",0.324300454405657
"23",2007-09-30,"Time/Mat.","Air Force","YOUNG",0.789639675429341
"24",2007-09-30,"Time/Mat.","DLA","YOUNG",0.0203842092827478
"25",2007-09-30,"Time/Mat.","MDA","YOUNG",0.000280615108317432
"26",2007-09-30,"Time/Mat.","Additional
DoD
Components","YOUNG",0.122194198507128
"27",2007-09-30,"Unlabeled","Army","YOUNG",-0.00361769157032215
"28",2007-09-30,"Unlabeled","Navy","YOUNG",-0.00014219528566618
"29",2007-09-30,"Unlabeled","Air Force","YOUNG",-0.000144198002020429
"30",2007-09-30,"Unlabeled","MDA","YOUNG",0
"31",2007-09-30,"Unlabeled","Additional
DoD
Components","YOUNG",-0.000412076069143563
"32",2008-09-30,"Combination","Army","YOUNG",6.23577984066161
"33",2008-09-30,"Combination","Navy","YOUNG",3.36275658484816
"34",2008-09-30,"Combination","Air Force","YOUNG",1.11246803816703
"35",2008-09-30,"Combination","DLA","YOUNG",0.669647697440347
"36",2008-09-30,"Combination","MDA","YOUNG",0.178327673785249
"37",2008-09-30,"Combination","Military
Health","YOUNG",0.00904292370932755
"38",2008-09-30,"Combination","Additional
DoD
Components","YOUNG",1.34906543640998
"39",2008-09-30,"Cost+","Army","YOUNG",9.47111263517353
"40",2008-09-30,"Cost+","Navy","YOUNG",15.1418138750217
"41",2008-09-30,"Cost+","Air Force","YOUNG",9.86208330415401
"42",2008-09-30,"Cost+","DLA","YOUNG",0.0117787922342733
"43",2008-09-30,"Cost+","MDA","YOUNG",0.521021301963124
"44",2008-09-30,"Cost+","Military
Health","YOUNG",-0.000194027754880694
"45",2008-09-30,"Cost+","Additional
DoD
Components","YOUNG",1.48013924106291
"46",2008-09-30,"Fixed","Army","YOUNG",90.2361136519957
"47",2008-09-30,"Fixed","Navy","YOUNG",36.7913571938156
"48",2008-09-30,"Fixed","Air Force","YOUNG",20.976088646551
"49",2008-09-30,"Fixed","DLA","YOUNG",36.6004625753037
"50",2008-09-30,"Fixed","MDA","YOUNG",0.0522556606724512
"51",2008-09-30,"Fixed","Military
Health","YOUNG",0.382150957668113
"52",2008-09-30,"Fixed","Additional
DoD
Components","YOUNG",7.77482399661605
"53",2008-09-30,"Other","Army","YOUNG",0.000266890433839479
"54",2008-09-30,"Other","DLA","YOUNG",0
"55",2008-09-30,"Time/Mat.","Army","YOUNG",5.88263390618221
"56",2008-09-30,"Time/Mat.","Navy","YOUNG",0.996317090357917
"57",2008-09-30,"Time/Mat.","Air Force","YOUNG",3.34335461517354
"58",2008-09-30,"Time/Mat.","DLA","YOUNG",0.103207330336226
"59",2008-09-30,"Time/Mat.","MDA","YOUNG",0.0175213665943601
"60",2008-09-30,"Time/Mat.","Additional
DoD
Components","YOUNG",0.56134956664859
"61",2008-09-30,"Unlabeled","Army","YOUNG",-0.0550076123861171
"62",2008-09-30,"Unlabeled","Navy","YOUNG",0.593858510618221
"63",2008-09-30,"Unlabeled","Air Force","YOUNG",-0.00891645347071584
"64",2008-09-30,"Unlabeled","DLA","YOUNG",0.000559916225596529
"65",2008-09-30,"Unlabeled","MDA","YOUNG",0
"66",2008-09-30,"Unlabeled","Additional
DoD
Components","YOUNG",0.00533279272234273
"67",2009-09-30,"Combination","Army","YOUNG",7.42405747036155
"68",2009-09-30,"Combination","Army","CARTER",3.16450742456159
"69",2009-09-30,"Combination","Navy","YOUNG",10.9884114238905
"70",2009-09-30,"Combination","Navy","CARTER",2.29499759918814
